,chembl_id,IC50,units,canonical_smiles,pIC50
3595,CHEMBL323970,7762.47,nM,COc1cc2ncc(C#N)c(Nc3cccc(c3)C(=O)N)c2cc1OC,5.110000065251387
3774,CHEMBL1828879,17260.0,nM,Brc1ccc(CC(=O)NS(=O)(=O)c2ccc(Br)cc2)cc1,4.762959208620809
6689,CHEMBL4088617,167300.0,nM,Nc1nc(N)c2c(n1)[nH]c3cccc(Sc4cccc5ccccc45)c23,3.7765040590376056
2370,CHEMBL490774,2000.0,nM,Oc1ccc(\C=C(\C#N)/C(=O)NC2CCCCC2)cc1O,5.698970004336019
5920,CHEMBL3960853,1.1,nM,C[C@@H](Nc1ncnc2oc(cc12)c3ccc(NCCN4CCOCC4)cc3)c5ccccc5,8.958607314841775
2608,CHEMBL491085,0.5495,nM,C\C=C\C(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.260032303240491
292,CHEMBL39355,8.8,nM,Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN5CCOCC5)cc23)c1,8.05551732784983
5899,CHEMBL3969056,10.0,nM,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(Cc4ccccn4)cc3)ncnc2cn1,8.0
5782,CHEMBL3897363,8.0,nM,CN1CCN(CC1)c2ccc(Nc3ncnc4cc5OC(=O)N(CCOC(=O)CBr)c5cc34)cc2Cl,8.096910013008056
4009,CHEMBL1958037,3200.0,nM,Brc1ccc(cc1)C2=NN(C(C2)c3ccccc3)C4=NC(=O)CS4,5.494850021680094
3542,CHEMBL1448,10500.0,nM,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+](=O)[O-],4.978810700930062
881,CHEMBL172973,500.0,nM,COc1cccc(c1)c2cn(c3ccccc3)c4ncnc(N)c24,6.301029995663981
1382,CHEMBL50245,324.0,nM,CN(C)c1ccc2c(Nc3cccc(Br)c3)ncnc2n1,6.489454989793388
4768,CHEMBL3221547,5500.0,nM,Cl.CCCOc1cc2ncnc(Nc3ccc(NC(=O)OCC)c(Cl)c3)c2cc1OC,5.259637310505756
4492,CHEMBL2385971,3000.0,nM,CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(cc3)c4cncc(C#N)c4Nc5ccc(F)c(Cl)c5)CC1,5.522878745280337
6680,CHEMBL4088200,127.8,nM,Clc1cccc(Nc2ccnc3ccc(NC(=O)C4CCC5(CC4)OOC6(O5)C7CC8CC(CC6C8)C7)cc23)c1,6.893469146177619
1299,CHEMBL176582,0.01,nM,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc12,11.0
2119,CHEMBL258270,3.0,nM,CC(=O)N1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,8.522878745280337
2200,CHEMBL441332,40.74,nM,Nc1c(Nc2ncnc3ccncc23)cccc1[N+](=O)[O-],7.389978975335855
1880,CHEMBL213007,1.0,nM,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC4CCN(CC4)S(=O)(=O)C,9.0
5275,CHEMBL3622626,104.7,nM,FC(F)(F)c1cc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)C=C)cc23)ccc1Cl,6.980053318321158
1988,CHEMBL246073,190.0,nM,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@H]6CCCNC6)c45)ccc23)c1,6.721246399047171
5139,CHEMBL3425672,5600.0,nM,COc1cc(ccc1Nc2ncc(Cl)c(Oc3cccc(NC(=O)\C=C\C4CC4)c3)n2)N5CCN(C)CC5,5.251811972993799
6348,CHEMBL3663923,1.1,nM,CCc1nc(C(=O)N)c(Nc2ccc(cc2)N3CCN(C)CC3)nc1Oc4cccc(NC(=O)C=C)c4C,8.958607314841775
577,CHEMBL544868,58.0,nM,Cl.[O-][N+](=O)c1ccc2sc3c(Nc4ccccc4)ncnc3c2c1,7.236572006437063
5513,CHEMBL3753142,78.17,nM,FC(F)(F)c1cc(NC(=O)Nc2nccs2)cc(c1)c3cccnc3,7.106959888042882
4493,CHEMBL2385970,3500.0,nM,CN(C)C\C=C\C(=O)Nc1ccc(cc1)c2cncc(C#N)c2Nc3ccc(F)c(Cl)c3,5.455931955649724
278,CHEMBL460732,93.0,nM,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(cc3)S(=O)(=O)c4ccccc4)c2c1,7.031517051446065
3848,CHEMBL1914657,4608.0,nM,Br.CC(Nc1ncnc2[nH]c(cc12)c3ccc(O)cc3)c4ccc(cc4)C(F)(F)F,5.336487529584844
2592,CHEMBL447223,0.7586,nM,Fc1ccc(Cc2ncnc3ccc(NC(=O)C=C)cc23)cc1Cl,9.119987161633228
4216,CHEMBL2087355,5.0,nM,Brc1cccc(Nc2ncnc3cc4OCCOCCOCCOc4cc23)c1,8.301029995663981
2323,CHEMBL522116,400.0,nM,CSCc1cc(\C=C\2/C(=O)Nc3ccccc23)cc(CSC)c1O,6.3979400086720375
1809,CHEMBL208118,9.0,nM,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(=O)N,8.045757490560675
